ID,VesselID,Connectivity,Position,Radius,LengthAlongVessel,Elasticity,R1,R2,C,Thickness,Type
45,4,"44,46","-18.051482774301725,-87.02865988318801,-195.48194045187603",11.000000,9.750000,400000.000000,,,,1.300317,0,
46,4,"47,45","-18.33820867722774,-87.56634243211,-195.2714319125013",11.000000,12.187500,400000.000000,,,,1.300317,0,
47,4,"48,46","-18.624895793501775,-88.10399803249153,-195.06080177171899",11.000000,14.625000,400000.000000,,,,1.300317,0,
48,4,"49,47","-18.91156351687614,-88.64164015889901,-194.85011083156945",11.000000,17.062500,400000.000000,,,,1.300317,0,
49,4,"50,48","-19.198231240250507,-89.17928228530648,-194.63941989141992",11.000000,19.500000,400000.000000,,,,1.300317,0,
50,4,"49,51","-19.48489896362487,-89.71692441171396,-194.4287289512704",11.000000,21.937500,400000.000000,,,,1.300317,0,
51,4,"52,50","-19.771566686999236,-90.25456653812144,-194.21803801112085",11.000000,24.375000,400000.000000,,,,1.300317,0,
52,4,"53,51","-20.058227515547273,-90.79221223212468,-194.00734679405446",11.000000,26.812500,400000.000000,,,,1.300317,0,
53,4,"54,52","-20.34487455394172,-91.32986506157866,-193.79665502313418",11.000000,29.250000,400000.000000,,,,1.300317,0,
54,4,"55,53","-20.631521592336174,-91.86751789103262,-193.58596325221393",11.000000,31.687500,400000.000000,,,,1.300317,0,
55,4,"56,54","-20.918168630730626,-92.4051707204866,-193.37527148129365",11.000000,34.125000,400000.000000,,,,1.300317,0,
56,4,"57,55","-21.20481566912508,-92.94282354994056,-193.1645797103734",11.000000,36.562500,400000.000000,,,,1.300317,0,
57,4,"56,3827","-21.49146270751953,-93.48047637939453,-192.95388793945312",11.000000,39.000000,400000.000000,,,,1.300317,0,
58,5,"3825,59","-16.904579162597656,-84.8779296875,-196.323974609375",2.500000,0.000000,400000.000000,,,,0.519964,0,
59,5,"60,58","-16.70649212735598,-84.25107194309906,-195.20111124877138",2.500000,2.476190,400000.000000,,,,0.519964,0,
60,5,"61,59","-16.5084050921143,-83.62421419869813,-194.07824788816774",2.500000,4.952381,400000.000000,,,,0.519964,0,
61,5,"60,62","-16.31031805687262,-82.9973564542972,-192.95538452756412",2.500000,7.428571,400000.000000,,,,0.519964,0,
62,5,"63,61","-16.123275177047137,-82.37065506561119,-191.8307916793929",2.500000,9.904762,400000.000000,,,,0.519964,0,
63,5,"62,64","-15.98593435039031,-81.74465732512313,-190.6984156119712",2.500000,12.380952,400000.000000,,,,0.519964,0,
64,5,"63,65","-15.848593523733484,-81.11865958463507,-189.5660395445495",2.500000,14.857143,400000.000000,,,,0.519964,0,
65,5,"64,66","-15.711252697076656,-80.492661844147,-188.43366347712782",2.500000,17.333333,400000.000000,,,,0.519964,0,
66,5,"65,67","-15.61280596866871,-79.86852200062569,-187.29740237334195",2.500000,19.809524,400000.000000,,,,0.519964,0,
67,5,"68,66","-15.582420482197582,-79.2476333129517,-186.15434279853287",2.500000,22.285714,400000.000000,,,,0.519964,0,
68,5,"67,69","-15.552034995726455,-78.62674462527772,-185.01128322372378",2.500000,24.761905,400000.000000,,,,0.519964,0,
69,5,"68,70","-15.52164950925533,-78.00585593760374,-183.8682236489147",2.500000,27.238095,400000.000000,,,,0.519964,0,
70,5,"69,71","-15.492229953669192,-77.38480075462536,-182.72522960819813",2.500000,29.714286,400000.000000,,,,0.519964,0,
71,5,"70,72","-15.463615305793486,-76.76360683154005,-181.58229017687154",2.500000,32.190476,400000.000000,,,,0.519964,0,
72,5,"71,73","-15.43500065791778,-76.14241290845473,-180.43935074554494",2.500000,34.666667,400000.000000,,,,0.519964,0,
73,5,"72,74","-15.406386010042073,-75.52121898536942,-179.29641131421835",2.500000,37.142857,400000.000000,,,,0.519964,0,
74,5,"73,75","-15.416126632187508,-74.90064819422186,-178.15305821331143",2.500000,39.619048,400000.000000,,,,0.519964,0,
75,5,"74,76","-15.440251773942569,-74.28031109856317,-177.00954997236283",2.500000,42.095238,400000.000000,,,,0.519964,0,
76,5,"75,77","-15.46437691569763,-73.65997400290448,-175.8660417314142",2.500000,44.571429,400000.000000,,,,0.519964,0,
77,5,"76,78","-15.48850205745269,-73.03963690724578,-174.72253349046562",2.500000,47.047619,400000.000000,,,,0.519964,0,
78,5,"79,77","-15.58369168755174,-72.42171714958019,-173.58164846981157",2.500000,49.523810,400000.000000,,,,0.519964,0,
79,5,"78,80","-15.685993665356477,-71.80403932637061,-172.4410259889334",2.500000,52.000000,400000.000000,,,,0.519964,0,
80,5,"81,79","-15.788295643161216,-71.18636150316104,-171.30040350805524",2.500000,54.476190,400000.000000,,,,0.519964,0,
81,5,"80,82","-15.895131798615447,-70.56962134573368,-170.15978338874368",2.500000,56.952381,400000.000000,,,,0.519964,0,
82,5,"83,81","-16.047354032134457,-69.9622670076723,-169.01918690817186",2.500000,59.428571,400000.000000,,,,0.519964,0,
83,5,"82,84","-16.199576265653466,-69.35491266961088,-167.87859042760005",2.500000,61.904762,400000.000000,,,,0.519964,0,
84,5,"85,83","-16.351798499172478,-68.74755833154948,-166.73799394702823",2.500000,64.380952,400000.000000,,,,0.519964,0,
85,5,"84,86","-16.51566201607832,-68.14724144917494,-165.5955070028765",2.500000,66.857143,400000.000000,,,,0.519964,0,
