TriangleNumber,ClusterID,Area
104,53,3.0951905554819183
105,53,2.849509064010641
106,15,3.0287828638196816
107,15,2.9757783564726417
108,15,2.877142827491159
109,15,2.896365811476539
110,67,2.8022781453555266
111,67,2.3635173285766156
112,23,2.521134202372047
113,23,2.588443059097696
114,23,2.9281471517280533
115,39,2.520822244382499
116,39,2.5801780969329697
117,39,2.669462464333235
118,23,2.618383273270874
119,23,2.697123921413073
120,56,2.892473773041979
121,72,2.8568828269061632
122,0,3.072475092315397
123,0,2.991225088740595
124,55,3.194235139438981
125,55,2.3807018652912015
126,55,2.570925571438654
127,72,2.731695872234041
128,72,2.702926445591487
129,73,2.5687265418929925
130,72,3.0202611088770284
131,72,3.111195492505477
132,89,2.596679723203909
133,89,3.2980302232215126
134,69,2.6756683638332546
135,14,2.60825035779396
136,14,2.469055857757862
137,69,1.8798536338213891
138,69,2.096622043012499
139,14,2.9220418902116463
140,14,2.1812004751250083
141,35,2.340651044437943
142,0,2.8604092511056587
143,0,2.8211953219720196
144,0,2.528045304576306
145,77,2.9141762693462594
146,77,2.6935230047294465
147,77,2.733492251868752
148,84,3.138028737743857
149,84,2.704113070543324
150,84,2.610567311395782
151,14,2.965346306434845
152,14,2.939813423495158
153,14,2.642385448475218
154,14,2.908785405735871
155,59,3.0311293780796564
156,59,3.0277849282307705
157,91,2.4217864901295307
158,91,2.8551120190790296
159,91,2.53714342265631
160,84,2.43838903134624
161,100,2.6854077907907254
162,100,2.7695814594579145
163,86,2.907099162711635
164,86,3.025901493464345
165,86,2.9650468101719625
166,88,2.6124011210012736
167,88,2.7449480713597474
168,88,2.815097062827356
169,89,2.5959569069300503
170,89,2.6836163493339544
171,88,3.1327955462219275
172,88,2.9786085038404866
173,88,2.8183026399680253
174,88,2.4649040428266806
175,88,2.844948928677928
176,87,2.6068209602891357
177,87,2.9361282177123402
178,49,2.82798930199925
179,49,2.9077506423125987
180,49,2.3066702487621242
181,49,2.2157074535090193
182,45,2.629119745985811
183,45,2.5615302095058277
184,46,2.8272817497242038
185,46,2.9503499733467216
186,46,2.600704139616608
187,66,2.8111887059187484
188,66,2.953087860111132
189,44,2.602889570676836
190,63,2.478617262743343
191,32,2.453152062763294
192,32,2.446023339743429
193,32,2.8771529233596804
194,12,2.5208439548412453
195,12,2.581671494883622
196,12,2.826590642606559
197,63,2.6769250150493153
198,63,2.669969521498359
199,63,2.3546057128310016
200,44,2.2350884931809123
201,44,3.3392591378407097
202,44,3.491781026350762
203,11,2.646265456602408
204,11,2.656655416138733
205,11,2.6130133695206887
206,63,2.332744673567977
207,63,2.304152838587538
208,63,2.7427053051858357
209,65,2.754476823115961
210,65,2.7897795924212927
